A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index,Day index
0,0,3,0,2,1,0,0,6,20,3,34,1
1,0,3,0,0,1,0,0,5,21,3,35,1
0,0,2,0,0,1,0,0,3,21,3,36,1
1,0,0,1,3,2,0,0,7,21,3,37,1
0,0,0,1,1,1,0,0,3,21,3,38,1
1,0,0,0,1,1,0,0,3,22,3,39,1
1,0,0,0,3,1,0,0,5,22,3,40,1
2,0,0,2,0,1,0,0,5,23,2,41,1
0,1,0,3,1,1,0,0,6,23,2,42,1
3,1,0,2,0,1,0,0,7,23,2,43,1
2,3,0,1,2,2,0,0,10,23,2,44,1
1,1,0,0,4,1,0,0,7,24,2,45,1
3,1,1,3,2,1,0,0,11,24,2,46,1
1,3,0,3,4,3,0,0,14,25,2,47,1
7,4,1,0,1,1,0,0,14,25,2,48,1
1,2,2,4,2,1,0,0,12,25,2,49,1
1,4,2,3,3,0,0.483232199752268,0.783912256021914,13,25,2,50,1
3,1,0,0,5,3,0.483232199752268,0.783912256021914,12,26,2,51,1
6,6,3,3,2,6,0.483232199752268,0.783912256021914,26,26,2,52,1
6,5,2,1,7,0,0.483232199752268,0.783912256021914,21,27,1,53,1
6,3,1,9,6,3,0.453030187267751,0.783912256021914,28,27,1,54,1
4,6,3,5,8,3,0.453030187267751,0.783912256021914,29,26,1,55,1
5,5,3,6,2,4,0.453030187267751,0.783912256021914,25,26,1,56,1
8,6,2,10,5,2,0.453030187267751,0.575259276888991,33,26,1,57,1
10,9,1,7,6,2,0.453030187267751,0.575259276888991,35,26,1,58,1
9,11,1,4,11,7,0.453030187267751,0.575259276888991,43,27,1,59,1
8,9,1,8,12,3,0.453030187267751,0.575259276888991,41,27,1,60,1
7,10,0,11,8,2,0.453030187267751,0.575259276888991,38,27,2,61,1
7,10,1,10,11,8,0.848089434975652,0.763931222480262,47,27,2,62,1
7,11,4,8,6,4,0.848089434975652,0.763931222480262,40,28,2,63,1
13,8,4,8,6,8,0.848089434975652,0.763931222480262,47,28,2,64,1
8,6,3,7,5,12,0.848089434975652,0.763931222480262,41,28,2,65,1
14,5,6,4,5,7,0.848089434975652,0.763931222480262,41,28,2,66,1
12,7,1,8,10,6,0.848089434975652,0.767012369185322,44,28,2,67,1
13,6,2,9,7,1,0.874876509117441,0.767012369185322,38,28,2,68,1
11,7,4,11,11,7,0.874876509117441,0.767012369185322,51,29,2,69,1
10,10,5,15,6,0,0.874876509117441,0.767012369185322,46,29,2,70,1
13,7,3,9,7,4,0.874876509117441,0.767012369185322,43,29,2,71,1
18,3,5,5,7,6,0.874876509117441,0.608070520020215,44,29,2,72,1
13,6,4,10,1,4,0.874876509117441,0.608070520020215,38,29,2,73,1
23,7,1,6,2,2,0.906283336773734,0.575259276888991,41,29,2,74,1
17,1,5,10,6,3,0.906283336773734,0.575259276888991,42,29,2,75,1
24,3,3,3,4,3,0.906283336773734,0.575259276888991,40,29,2,76,1
11,4,2,4,8,3,0.906283336773734,0.575259276888991,32,28,3,77,1
9,4,3,7,8,0,0.906283336773734,0.575259276888991,31,28,3,78,1
9,5,2,3,9,0,0.906283336773734,0.822885229051608,28,28,3,79,1
13,6,3,9,6,1,0.906283336773734,0.822885229051608,38,28,3,80,1
18,5,5,12,8,2,0.906283336773734,0.822885229051608,50,27,3,81,1
10,3,5,6,8,0,0.755050312112918,0.822885229051608,32,27,3,82,1
9,5,7,10,2,0,0.755050312112918,0.822885229051608,33,26,3,83,1
11,4,4,7,6,2,0.755050312112918,0.822885229051608,34,26,3,84,1
9,5,4,8,3,4,0.755050312112918,0.822885229051608,33,25,3,85,1
8,7,6,3,6,1,0.755050312112918,0.822885229051608,31,25,3,86,1
8,4,2,8,4,1,0.755050312112918,0.842908150812294,27,24,3,87,1
7,2,3,2,7,6,0.755050312112918,0.842908150812294,27,24,3,88,1
5,0,2,4,6,2,0.755050312112918,0.842908150812294,19,22,2,89,1
0,2,1,4,1,2,0.667113154532697,0.842908150812294,10,22,2,90,1
1,2,0,2,0,2,0.667113154532697,0.842908150812294,7,23,3,91,1
1,3,0,0,1,2,0.667113154532697,0.842908150812294,7,23,3,92,1
0,0,0,1,0,0,0,0,1,23,3,93,1
0,0,0,0,0,0,0,0,0,23,3,94,1
0,0,0,0,0,1,0,0,1,22,3,95,1
0,0,0,0,0,0,0,0,0,22,3,0,2
0,0,0,0,0,0,0,0,0,21,3,1,2
0,0,0,0,0,0,0,0,0,21,3,2,2
0,0,0,0,0,0,0,0,0,21,3,3,2
0,0,0,0,0,0,0,0,0,21,3,4,2
0,0,0,0,0,0,0,0,0,21,2,5,2
0,0,0,0,0,0,0,0,0,21,2,6,2
0,0,0,0,0,0,0,0,0,21,2,7,2
0,0,0,0,0,0,0,0,0,21,2,8,2
0,0,0,0,0,0,0,0,0,20,2,9,2
0,0,0,0,0,0,0,0,0,20,2,10,2
0,0,0,0,0,0,0,0,0,20,2,11,2
0,0,0,0,0,0,0,0,0,20,2,12,2
0,0,0,0,0,0,0,0,0,20,2,13,2
0,0,0,0,0,0,0,0,0,20,2,14,2
0,0,0,0,0,0,0,0,0,20,2,15,2
0,0,0,0,0,0,0,0,0,20,2,16,2
0,0,0,0,0,0,0,0,0,18,2,17,2
0,0,0,0,0,0,0,0,0,18,2,18,2
0,0,0,0,0,0,0,0,0,18,2,19,2
0,0,0,0,0,0,0,0,0,18,2,20,2
0,0,0,0,0,0,0,0,0,18,2,21,2
0,0,0,0,0,0,0,0,0,18,2,22,2
0,0,0,0,0,0,0,0,0,18,2,23,2
0,0,0,0,0,0,0,0,0,18,2,24,2
0,1,0,2,0,0,0,0,3,18,2,25,2
0,0,0,0,0,0,0,0,0,18,2,26,2
0,0,1,0,0,3,0,0,4,18,2,27,2
1,2,0,0,1,2,0,0,6,18,2,28,2
3,0,1,0,3,4,0,0,11,18,1,29,2
3,1,1,1,2,2,0,0,10,18,1,30,2
9,0,0,1,3,0,0,0,13,19,2,31,2
7,2,2,3,1,3,0,0,18,19,2,32,2
8,0,1,4,3,5,0,0,21,19,2,33,2
9,0,2,1,2,8,0,0,22,19,2,34,2
15,1,3,3,0,2,0,0,24,19,2,35,2
9,1,2,2,2,1,0,0,17,19,2,36,2
12,1,0,4,1,2,0,0,20,19,2,37,2
13,1,3,4,1,1,0,0,23,19,2,38,2
12,0,1,5,2,4,0,0,24,19,2,39,2
11,2,1,4,5,1,0,0,24,19,2,40,2
7,2,2,3,5,1,0,0,20,19,2,41,2
6,4,3,4,4,3,0,0,24,19,2,42,2
8,2,4,8,3,2,0,0,27,20,1,43,2
8,2,4,4,4,1,0,0,23,20,1,44,2
5,6,3,3,7,1,0,0,25,21,1,45,2
2,4,4,2,7,1,0,0,20,21,1,46,2
1,7,3,5,5,0,0,0,21,21,1,47,2
0,6,3,3,7,0,0,0,19,21,1,48,2
1,5,1,5,5,3,0,0,20,21,1,49,2
2,4,3,8,10,1,0,0,28,21,1,50,2
4,7,1,3,7,0,0,0,22,22,1,51,2
4,12,4,6,8,1,0,0,35,22,1,52,2
7,5,4,5,5,4,0,0,30,22,1,53,2
8,12,1,7,5,3,0,0,36,22,1,54,2
11,3,5,10,10,1,0,0,40,21,2,55,2
9,8,4,6,6,6,0,0,39,21,2,56,2
6,5,5,13,5,3,0,0,37,22,2,57,2
18,5,4,8,6,4,0.453076322932344,0,45,22,2,58,2
12,7,2,7,7,3,0.453076322932344,0,38,23,2,59,2
13,5,3,10,3,1,0.453076322932344,0,35,23,2,60,2
11,8,0,7,5,4,0.453076322932344,0,35,23,2,61,2
11,10,3,10,10,2,0.453076322932344,0,46,23,2,62,2
11,16,3,10,5,4,0.453076322932344,0,49,22,2,63,2
14,8,1,8,7,6,0.483232199752268,0.570066112518951,44,22,2,64,2
12,4,5,15,6,3,0.483232199752268,0.570066112518951,45,23,2,65,2
13,3,4,17,7,7,0.483232199752268,0.570066112518951,51,23,2,66,2
16,7,2,10,8,7,0.483232199752268,0.570066112518951,50,23,2,67,2
21,5,3,3,3,6,0.483232199752268,0.570066112518951,41,23,2,68,2
18,3,5,5,1,3,0.807073683060634,0.570066112518951,35,23,2,69,2
19,0,9,4,4,3,0.807073683060634,0.608070520020215,39,23,2,70,2
11,2,6,1,2,1,0.807073683060634,0.608070520020215,23,22,2,71,2
14,0,9,2,6,1,0.807073683060634,0.608070520020215,32,22,2,72,2
9,4,7,5,5,4,0.807073683060634,0.608070520020215,34,22,2,73,2
18,3,1,11,5,4,0.807073683060634,0.608070520020215,42,22,2,74,2
17,2,5,6,2,1,0.677947251767692,0.608070520020215,33,22,2,75,2
12,2,6,6,4,1,0.677947251767692,0.575259276888991,31,22,2,76,2
19,3,7,5,3,2,0.677947251767692,0.794777668077861,39,22,2,77,2
18,2,12,4,9,1,0.677947251767692,0.794777668077861,46,22,2,78,2
12,0,7,5,5,3,0.677947251767692,0.794777668077861,32,21,3,79,2
11,1,8,4,1,3,0.677947251767692,0.794777668077861,28,21,3,80,2
14,0,8,3,4,3,0.677947251767692,0.794777668077861,32,21,3,81,2
15,4,11,6,7,3,0.924535041879084,0.925880074285108,46,21,3,82,2
12,2,9,8,8,5,0.924535041879084,0.925880074285108,44,20,3,83,2
3,5,0,5,7,5,0.924535041879084,0.925880074285108,25,20,3,84,2
2,3,1,5,2,1,0.924535041879084,0.925880074285108,14,20,3,85,2
1,0,0,2,2,2,0.924535041879084,0.925880074285108,7,20,3,86,2
0,0,1,0,1,0,0.924535041879084,0.925880074285108,2,20,3,87,2
0,0,0,0,0,0,0.924535041879084,0.925880074285108,0,20,3,88,2
0,0,0,1,0,0,0.924535041879084,0.925880074285108,1,19,3,89,2
0,0,0,1,0,0,0,0.908390892604191,1,19,3,90,2
0,0,0,0,0,0,0,0.908390892604191,0,19,3,91,2
0,0,0,0,0,0,0,0,0,19,3,92,2
0,0,0,0,0,0,0,0,0,19,3,93,2
0,0,0,0,0,0,0,0,0,19,3,94,2
