Time (GMT),Temp.,Conditions
22-07-2018 10:50:00,22 °C,Passing clouds.
22-07-2018 11:20:00,22 °C,Passing clouds.
22-07-2018 11:50:00,23 °C,Scattered clouds.
22-07-2018 12:20:00,23 °C,Scattered clouds.
22-07-2018 12:50:00,24 °C,Passing clouds.
22-07-2018 13:20:00,24 °C,Sunny.
22-07-2018 13:50:00,24 °C,Sunny.
22-07-2018 14:20:00,26 °C,Sunny.
22-07-2018 14:50:00,27 °C,Scattered showers. Passing clouds.
22-07-2018 15:20:00,20 °C,Thunderstorms. Partly sunny.
22-07-2018 15:50:00,22 °C,Scattered showers. Partly sunny.
22-07-2018 16:20:00,22 °C,Scattered showers. Partly sunny.
22-07-2018 16:50:00,24 °C,Scattered showers. Scattered clouds.
22-07-2018 17:20:00,25 °C,Scattered showers. Scattered clouds.
22-07-2018 17:50:00,24 °C,Scattered showers. Clear.
22-07-2018 18:20:00,24 °C,Passing clouds.
22-07-2018 18:50:00,24 °C,Scattered showers. Clear.
22-07-2018 19:20:00,23 °C,Thundershowers. Broken clouds.
22-07-2018 19:50:00,19 °C,Thundershowers. Mostly cloudy.
22-07-2018 20:20:00,20 °C,Scattered showers. Broken clouds.
22-07-2018 20:50:00,20 °C,Scattered showers. Scattered clouds.
22-07-2018 21:20:00,19 °C,Scattered showers. Passing clouds.
22-07-2018 21:50:00,18 °C,Scattered showers. Passing clouds.
22-07-2018 22:20:00,18 °C,Scattered showers. Fog.
22-07-2018 22:50:00,18 °C,Scattered showers. Fog.
22-07-2018 23:20:00,18 °C,Fog.
22-07-2018 23:50:00,18 °C,Fog.
23-07-2018 00:00:00,18 °C,Fog.
